epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1369.44,1.10985,0.88166,1.2432,0.90945,0.89092,0.93906,0.61338,1.31221,0.83139,1.53674,0.000990365,0.000990365,0.000990365
43,1400.79,1.08472,0.84868,1.23348,0.88436,0.87622,0.92541,0.60034,1.26678,0.9255,1.4826,0.000973861,0.000973861,0.000973861
44,1431.67,1.08647,0.82878,1.22148,0.95708,0.86171,0.94612,0.63296,1.23351,0.79862,1.45737,0.000957358,0.000957358,0.000957358
45,1464.3,1.05208,0.81922,1.19806,0.89638,0.87944,0.923,0.60525,1.2379,0.85736,1.48765,0.000940855,0.000940855,0.000940855
46,1495.83,1.07606,0.82603,1.22939,0.87747,0.88653,0.92578,0.58986,1.22162,0.82765,1.47713,0.000924352,0.000924352,0.000924352
47,1527.25,1.04638,0.80639,1.20158,0.89596,0.89131,0.93321,0.60271,1.24095,0.81477,1.4911,0.000907848,0.000907848,0.000907848
48,1558.55,1.03463,0.79706,1.19749,0.83059,0.91245,0.93148,0.59417,1.25819,0.81497,1.50288,0.000891345,0.000891345,0.000891345
49,1589.27,1.03725,0.78167,1.18381,0.90994,0.90436,0.93961,0.63568,1.19646,0.75184,1.46277,0.000874842,0.000874842,0.000874842
50,1621.5,1.03133,0.78189,1.19841,0.91853,0.89706,0.92719,0.61818,1.26514,0.78891,1.54009,0.000858338,0.000858338,0.000858338
51,1652.35,1.01869,0.7811,1.18848,0.95624,0.89014,0.9477,0.61916,1.30754,0.79575,1.52685,0.000841835,0.000841835,0.000841835
52,1682.71,1.00145,0.76439,1.17643,0.92098,0.89755,0.94643,0.62456,1.21487,0.78169,1.45692,0.000825332,0.000825332,0.000825332
53,1712.93,0.98968,0.74378,1.15471,0.93191,0.93431,0.95494,0.62313,1.31539,0.77935,1.56685,0.000808828,0.000808828,0.000808828
54,1743.79,0.98454,0.73203,1.15597,0.92062,0.88059,0.9427,0.63481,1.1821,0.78392,1.44234,0.000792325,0.000792325,0.000792325
55,1774.38,0.99486,0.72775,1.16795,0.9428,0.86794,0.93377,0.62777,1.29382,0.78888,1.58218,0.000775822,0.000775822,0.000775822
56,1804.81,0.97073,0.72525,1.17367,0.9504,0.91079,0.953,0.63704,1.2496,0.71743,1.5155,0.000759318,0.000759318,0.000759318
57,1837.19,0.94914,0.70749,1.14633,0.93676,0.86668,0.93805,0.62025,1.18784,0.7458,1.46969,0.000742815,0.000742815,0.000742815
